Party ID 1:,Party ID 2:,Party ID:,Total Number Of Works:,Member Name:,Work Title,ASCAP Work ID,Interested Parties,IPI Number,Interested Party Status,Role,Society,Own%,Collect%,Registration Date,Registration Status,Surveyed Work,ISWC Number,Work Licenced By ASCAP,Share Licenced By ASCAP
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE TANTO ES TANTITO",909187889,"RIOS ECHEVERRIA, ADRIANA ISABEL",1113815000,"Identified Authoritative","CA","BMI",25.00%,25.00%,09/17/2020,"Accepted","Y","T3010937103","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE TANTO ES TANTITO",909187889,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,09/17/2020,"Accepted","Y","T3010937103","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE TANTO ES TANTITO",909187889,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,09/17/2020,"Accepted","Y","T3010937103","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE TE QUIERO",896470697,"ALVAREZ, ANTONIO",831561745,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,02/07/2019,"Accepted","Y","T9274905032","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE TE QUIERO",896470697,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,02/07/2019,"Accepted","Y","T9274905032","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE TE QUIERO",896470697,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,02/07/2019,"Accepted","Y","T9274905032","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUIEN TE DIO PERMISO",922453650,"GARCIA, ALEXANDER",782546705,"Identified Authoritative","CA","ASCAP",25.00%,25.00%,11/20/2023,"Accepted","Y","T3222716221","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUIEN TE DIO PERMISO",922453650,"GURROLA MARTINEZ, EDUARDO",744621837,"Identified Authoritative","CA","SESAC",25.00%,25.00%,11/20/2023,"Accepted","Y","T3222716221","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUIEN TE DIO PERMISO",922453650,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",25.00%,0.00%,11/20/2023,"Accepted","Y","T3222716221","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUIEN TE DIO PERMISO",922453650,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,25.00%,11/20/2023,"Accepted","Y","T3222716221","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUIEN TE DIO PERMISO",922453650,"MUSIC OF AFINARTE",817094629,"Identified Authoritative","E","SESAC",25.00%,25.00%,11/20/2023,"Accepted","Y","T3222716221","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUITATE LA CARETA",897980019,"CASTELLANOS OREJEL, CARLOS",750636051,"Identified Authoritative","CA","SESAC",8.33%,8.33%,07/29/2019,"Accepted","Y","T9291576368","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUITATE LA CARETA",897980019,"MAGALLON, LUIS",808255731,"Identified Authoritative","CA","ASCAP",25.00%,25.00%,07/29/2019,"Accepted","Y","T9291576368","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUITATE LA CARETA",897980019,"OLEA MENESES, NESTOR SAGID",752634241,"Identified Authoritative","CA","SESAC",8.33%,8.33%,07/29/2019,"Accepted","Y","T9291576368","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUITATE LA CARETA",897980019,"SANTOYO LIMON, ULISES EMMANUEL",740565740,"Identified Authoritative","CA","SACM",8.34%,8.34%,07/29/2019,"Accepted","Y","T9291576368","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUITATE LA CARETA",897980019,"ALVANI MUSIC PUBLISHING",472779019,"Identified Authoritative","E","SESAC",25.00%,25.00%,07/29/2019,"Accepted","Y","T9291576368","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUITATE LA CARETA",897980019,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",25.00%,0.00%,07/29/2019,"Accepted","Y","T9291576368","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUITATE LA CARETA",897980019,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,25.00%,07/29/2019,"Accepted","Y","T9291576368","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RADICANDO POR CHICAGO",908783559,"QUEZADA, ALFONSO DE JESUS JR",870476513,"Identified Authoritative","CA","BMI",50.00%,50.00%,08/06/2020,"Accepted","Y","T3003892346","N","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RADICANDO POR CHICAGO",908783559,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,08/06/2020,"Accepted","Y","T3003892346","N",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RADICANDO POR CHICAGO",908783559,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,08/06/2020,"Accepted","Y","T3003892346","N","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RAFAEL CARO QUINTERO",914885990,"SANCHEZ MEDRANO, JOSE GUADALUPE",835985390,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,02/08/2022,"Accepted","Y","T3090369038","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RAFAEL CARO QUINTERO",914885990,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,02/08/2022,"Accepted","Y","T3090369038","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RAFAEL CARO QUINTERO",914885990,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,02/08/2022,"Accepted","Y","T3090369038","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RANCHERO HASTA LAS CACHAS",909617656,"GARCIA, ALEXANDER",782546705,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,11/05/2020,"Accepted","Y","T3016859448","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RANCHERO HASTA LAS CACHAS",909617656,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,11/05/2020,"Accepted","Y","T3016859448","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RANCHERO HASTA LAS CACHAS",909617656,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,11/05/2020,"Accepted","Y","T3016859448","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RANCHITOS ESCONDIDOS",891605066,"GARCIA, ALEXANDER",782546705,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,12/08/2016,"Accepted","Y","T9203498775","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RANCHITOS ESCONDIDOS",891605066,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,12/08/2016,"Accepted","Y","T9203498775","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RANCHITOS ESCONDIDOS",891605066,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,12/08/2016,"Accepted","Y","T9203498775","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RECORDANDO A BARRERA",909386189,"LEON MEZA, SERGIO BLADIMIR",826723624,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,10/05/2020,"Accepted","Y","T3016176431","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RECORDANDO A BARRERA",909386189,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,10/05/2020,"Accepted","Y","T3016176431","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RECORDANDO A BARRERA",909386189,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,10/05/2020,"Accepted","Y","T3016176431","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","RECORDANDO A MI PUEBLO",919385299,"DIAZ BORJA, GERARDO",845394311,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,01/16/2023,"Accepted","Y","T3151219095","Y","Y"
