Song #,Song Title,Reg. Date,ISWC #,Affiliate #,Name,Pro,Publisher/Writer,Share %
716665076,ROBERTO LUNA SALDIVAR,06/17/2022,T3121466482,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
727968569,SENORES DE ALTO GRADO,10/28/2023,T3293316420,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
727968569,SENORES DE ALTO GRADO,10/28/2023,T3293316420,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
743191078,SE RUMORA EN CULIACAN,12/10/2024,,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
743191078,SE RUMORA EN CULIACAN,12/10/2024,,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
722690597,SIEMPRE ESTARAS,03/17/2023,T3168351433,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
722690597,SIEMPRE ESTARAS,03/17/2023,T3168351433,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
699342890,SI LO MIRAN SOLO,10/09/2020,T3074946564,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
699342890,SI LO MIRAN SOLO,10/09/2020,T3074946564,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
699222176,SI YA NO ME QUIERES,09/14/2020,T3094891546,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
699222176,SI YA NO ME QUIERES,09/14/2020,T3094891546,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
704343500,SOY BUEN AMIGO,05/01/2021,T3042801087,3182338,MELODIES OF AFINARTE,ASCAP,P,25.000000
704343500,SOY BUEN AMIGO,05/01/2021,T3042801087,3884481,ALEXANDER GARCIA,ASCAP,W,25.000000
704343500,SOY BUEN AMIGO,05/01/2021,T3042801087,451248,EDUARDO GURROLA MARTINES,SESAC,W,25.000000
704343500,SOY BUEN AMIGO,05/01/2021,T3042801087,494884,MUSIC OF AFINARTE,SESAC,P,25.000000
699222181,SOY DE DURANGO,09/14/2020,T9286793133,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
699222181,SOY DE DURANGO,09/14/2020,T9286793133,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
1066680,SOY HUMILDE,11/03/2015,T3061192987,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
1066680,SOY HUMILDE,11/03/2015,T3061192987,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
701012607,TE GANASTE UN MILLON,12/18/2020,T3096508571,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
701012607,TE GANASTE UN MILLON,12/18/2020,T3096508571,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
60779440,TE MARCHASTE,01/29/2020,T3128380412,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
60779440,TE MARCHASTE,01/29/2020,T3128380412,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
700114727,TE VAS A ARREPENTIR,10/05/2020,T3095220212,3182338,MELODIES OF AFINARTE,ASCAP,P,16.670000
700114727,TE VAS A ARREPENTIR,10/05/2020,T3095220212,4519319,SONGS OF AFINARTE,BMI,P,16.660000
