Mri ID,Song Title,Publisher(s),Composer(s),US Share,Revised Share,Not Our Song,Last Updated
905380323,POR UNOS OJOS BONITOS,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
885404263,EL 07 DE SAN DIMAS,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891367477,EL MISMO (EN VIVO),MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
891367489,LOS DEJO CON LA DUDA,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
886290198,"AMIGO, EL",MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
885384454,"ILLEGAL, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
891355058,EL GLASS (FEAT. CACHORRO DELGADO),SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
885384453,"FIRULAIS, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
889299096,DEL SALADO PARA EL MUNDO,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
896935683,DESDE CERO,MELODIES OF AFINARTE,"ARREDONDO ZAMORA, DE JESUS ELEAZAR",100.00%,,false,
879454747,CUERVO SIERRA,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891360743,EL CUADERNO,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
891355083,PA' QUE EMPIECEN A TOCAR,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
897302494,"HACHE, EL",MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
885343784,TROMPEZON DE UN SAPO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
886290213,MI ACORDEON Y YO,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
901659969,SE ME ACABO EL DINERO,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
888304714,VALOR Y SOSTENGO,SONGS OF AFINARTE,"GONZALEZ, VIANCA L",100.00%,,false,
901344968,5 VECES MI CORRIDO,MELODIES OF AFINARTE,"BUSTOS HURTADO, ALEMI",100.00%,,false,
901733288,LICENCIADA,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891416146,PARA OLVIDARTE SIN DOLOR,MUSIC OF AFINARTE,"SALAZAR ASTORGA, RUBEN",100.00%,,false,
877011276,FUGITIVO DEL INFIERNO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891355077,HOMBRE ALEGRE,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
899598707,BOLO CORONEL,MELODIES OF AFINARTE,"BUSTOS HURTADO, ALEMI",100.00%,,false,
886299294,"CRUZADORES, LOS",MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
878894818,CORRIDO DE BARRERA,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
891416143,CAPAZ DE TODO,MUSIC OF AFINARTE,"SALAZAR ASTORGA, RUBEN",100.00%,,false,
879320659,"CORRIDO DEL CHANO, EL",SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901345139,"DE LA O, EL",SONGS OF AFINARTE,"CERVANTES, ALEXANDER",100.00%,,false,
901659777,AL MISMO NIVEL,SONGS OF AFINARTE,"RAMIREZ, MALDONADO JUAN",100.00%,,false,
891482971,EN EL ULTIMO MINUTO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901463869,MIS RAICES,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
899598726,FUGA PA' LA PISTA,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
901349776,LA C Y LA J,MELODIES OF AFINARTE,"GARCIA, ALEXANDER/QUEZADA MANCHA, ALFONSO DE JESUS/QUEZADA MANCHA, IMANOL",100.00%,,false,
897302495,EMPRESA N,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891360541,DE APELLIDO VIZCAINO,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
901463845,HOY DAME EL GUSTO,MELODIES OF AFINARTE,"RIOS ECHEVERRIA, ADRIANA ISABEL",100.00%,,false,
891304381,EL DE LA TEXANA (FEAT. BANDA LOS POPULARES DEL LLANO),SONGS OF AFINARTE,"QUEZADA MANCHA, IMANOL",100.00%,,false,
886299289,"EMPRESARIO, EL",MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
879132576,AL MAYO LE QUE ES DEL MAYO (EL FANTASMA VERSION),SONGS OF AFINARTE,"DELGADO MADRID, MARIO OSWALDO",50.00%,,false,
896935688,EN UN SEGUNDO,MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
895179662,EL DE LAS BOTAS BLANCAS,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
877607194,COMO UN CERILLAZO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891360849,LA ESCUELA DE LA CALLE,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
901463807,CERO AMPARO (EL RR),MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
891304391,VIDA VENTAJOSA,SONGS OF AFINARTE,"QUEZADA MANCHA, IMANOL",100.00%,,false,
909556264,YO SOY GANADERO,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
891471245,TE PROMETO,MELODIES OF AFINARTE,"MANZANAREZ DE SANTIAGO, FELIPE DE JESUS",100.00%,,false,
896935690,DON JOSE,MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
885368441,ACLARANDO PENDIENTES (VIDA CORTA),SONGS OF AFINARTE,"GONZALEZ, VIANCA L",100.00%,,false,
885384449,"CHACAMEL, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
901733197,"KELE, EL",SONGS OF AFINARTE,"VILLANUEVA, SALAZAR JOHNY ADAIR",100.00%,,false,
878445740,"MOMENTO, EL",MUSIC OF AFINARTE,"RAMIREZ MIRANDA, RICARDO",100.00%,,false,
901733051,NACHITO EL DE LAS FLECHAS,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
884672998,EL REY DEL CHILE,MELODIES OF AFINARTE,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",100.00%,,false,
886390148,FERMIN EL PILOTO,MELODIES OF AFINARTE,"GARCIA, ALEXANDER/LIMON, PERLA ELENES",100.00%,,false,
891360543,MI MAYOR ERROR,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
885343781,"TERCERO, EL",SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901463808,CHALINO EL REY,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891355088,TROPEZON DE UN ZAPO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891360840,EL DIPUTADO (ELI CAMACHO),MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
891471244,MI LEMA,MELODIES OF AFINARTE,"MEDRANO, RODRIGUEZ FRANCISCO JAVIER",100.00%,,false,
886299284,A QUE LE TEMES,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,0.00%,false,2025-06-12 19:10:55.28793
886290210,"TRIUNFO Y LA ENVIDIA, EL",MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
897302674,"SKINNY, EL",MELODIES OF AFINARTE,"ORDONEZ MONTENEGRO, JESUS ALBERT",100.00%,,false,
884474133,TROMPEZON DE UN SAPO,SONGS OF AFINARTE,KANALES,100.00%,,false,
891303123,EL COMPA BANDA,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
897293171,CORRIDO DEL TONY,MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
891360846,EL S S,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
899598718,"AZUL, EL",MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
887303054,EL TERCERO,SONGS OF AFINARTE,KANALES,100.00%,,false,
901660437,UN AMOR COMO EL MIO,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
901376214,HASTA TENERTE CONMIGO,SONGS OF AFINARTE,"AMARO PEREZ, VICTOR EDUARDO/NUNEZ, GABRIEL",100.00%,,false,
891361542,EL JEFE DE LA MAÑA,MELODIES OF AFINARTE,"BORJA, GERARDO DIAZ",100.00%,,false,
891360542,EL DE SANTA ANA,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
901733048,MI QUINTO ELEMENTO,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
902211216,AHI VA LA LOCA,MELODIES OF AFINARTE,"ECHEVERRIA, ADRIANA ISABEL RIOS",100.00%,,false,
901463810,COMO LA VES,MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
