"Artist","Track Title","ISRC","SXID","Effective %","Hold","Registrant","Payee ID#","Association Type"
"El Fantasma","En Guasave Ya Se Sabe","DGA0P2433559","SX215HV5KG","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","El Primito (Los Metros)","DGA0P2433558","SX215HV5KH","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Porto Un Mini Draco","DGA092497573","SX215HV5KJ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Nicolas Garcia","Metro 87","DGA0L2497191","SX215HV5KM","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Hoy Comprendi","DGA0P2407956","SX215HV5KV","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Angel Sauceda","Nada Saben","DGA0H2463640","SX215HV5L2","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Aria","De Mi Enamorate","DGA062467529","SX215HV5LF","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Aria","Lo Que Me Duele","DGA0H2412104","SX215HV5LG","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Aria","Muero De Frio","DGA082444838","SX215HV5LJ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Aria","Asi De Facil","DGA0H2412101","SX215HV5LL","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Latigo Norteno","Rosa Con Espinas","DGA0H2430658","SX215HV5LO","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Shompo 7Trece","Infierno","DGA0M2490473","SX215HV5LQ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos, Diego Dela Rosca","La Entrevista","DGA0M2460018","SX215HV5LZ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M","Polvito Rosa","DGA0M2460014","SX215HV5M4","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"La Cuadrilla Oficial","Mexico Lindo","DGA0M2414038","SX215HV5MD","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Hay Que Sumar","DGA092497321","SX215HV5MG","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Angel Sauceda","El Junior","DGA092430607","SX215HV5MI","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Adriana Rios","Asi Hablamos En Tijuana","DGA0M2420981","SX215HV5MP","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Latigo Norteno","El Senor","DGA092439672","SX215HV5MR","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Diego Dela Rosca","Amigo Del Amigo","DGA082495546","SX215HV5MT","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Clave H3","Ch3 Money","DGA092420898","SX215HV5MZ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos, Los Mismos De La M","Fui Chalito","DGA082439292","SX215HV5N9","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Don Mayo","DGA072462072","SX215HV5NJ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","La Troca Negra","DGA072462062","SX215HV5NL","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Luis Manuel El Dorado","Ojitos Bonitos","FRX282457833","SX215HV5NO","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Luis Manuel El Dorado","Mazatlan","FRX872432282","SX215HV5NP","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Luis Manuel El Dorado","El Chofer","FR59R2497894","SX215HV5NQ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Luis Manuel El Dorado","El Ilegal","DGA062467525","SX215HV5NS","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Hijos De Manuel","Pancho Rivera","DGA062474698","SX215HV5O1","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M, Diego Dela Rosca, Shompo 7Trece","Vpv","DGA062404206","SX215HV5O9","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M, Diego Dela Rosca, Shompo 7Trece","After Party","DGA062404213","SX215HV5OG","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M, Diego Dela Rosca, Shompo 7Trece","La Mercedes","DGA062404211","SX215HV5OI","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Bandolero Meno Sanchez","De Esta Sierra A Otra Sierra","DGA062430539","SX215HV5OK","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Gerardo Diaz Y Su Gerarquia","El Padrino","DGA062446195","SX215HV5OR","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Gerardo Diaz Y Su Gerarquia","Como Tu Decidas","DGA062446194","SX215HV5OS","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Gerardo Diaz Y Su Gerarquia","Carrera A Muerte","DGA062446193","SX215HV5OT","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Gerardo Diaz Y Su Gerarquia","Sentimental","DGA062446199","SX215HV5OU","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Gerardo Diaz Y Su Gerarquia","Me La Escondieron Sus Padres","DGA062446198","SX215HV5OV","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Gerardo Diaz Y Su Gerarquia","En Un Jaripeo","DGA062446197","SX215HV5OW","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Gerardo Diaz Y Su Gerarquia","El Peor De Tus Antojos","DGA062446192","SX215HV5OX","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos, Inteligencia Norteña","El Changarro","DGA052496306","SX215HV5P0","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Manuel Pena","Saca Plan","DGA052496301","SX215HV5P3","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"La Cuadrilla Oficial","Fiesta En Culiacan","DGA052496299","SX215HV5P5","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Adriana Rios","Solo Por Hoy","DGA052450042","SX215HV5PA","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Pa Que No Me Cuenten","DGA052455833","SX215HV5PG","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Oscar Alvarado","El Infiel","DGA052415703","SX215HV5PK","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Irene Del Rosario","A Ver Pa Cuando","DGA052409932","SX215HV5PN","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Jony Ramirez","Bajo Mil Llaves","DGA052409925","SX215HV5PR","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Jony Ramirez","El Morral","DGA052409924","SX215HV5PS","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Jony Ramirez","Traigo De Escudo A Mi Dios","DGA052409922","SX215HV5PU","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Jony Ramirez","No Me Ganaras","DGA052409929","SX215HV5PW","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Jony Ramirez","Diamante Negro","DGA052409927","SX215HV5PY","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Jony Ramirez","El Contador","DGA052409930","SX215HV5Q0","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos De Tamaulipas","Arriba La Compania","DGA052415702","SX215HV5Q3","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Grupo Equilibrio","Nubes En El Cuarto","FRX872494123","SX215HV5Q6","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Manuel Pena","El Pantera","FRX872469359","SX215HV5QD","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Manuel Pena","Victoria","FRX872469357","SX215HV5QF","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Manuel Pena","Vamonos","FRX872469353","SX215HV5QK","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Manuel Pena","Volando Con La Mari","FRX872469354","SX215HV5QL","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Manuel Pena","El Jefe Ivan","FRX872469360","SX215HV5QN","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Manuel Pena","Comerme El Mundo","FRX872469361","SX215HV5QO","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Diego Dela Rosca","Al Estilo Cholo Ivan","FRX872448259","SX215HV5QQ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","El Corrido De Olegario","FRX872466289","SX215HV5QS","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","Luz Verde","FRX872457291","SX215HV5QW","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Jr Salazar","Fue Bello Mientras Duro","FRX872432280","SX215HV5QZ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M","Modo Sonrix","FR59R2488540","SX215HV5R8","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M","Champagne","FRX872436522","SX215HV5RA","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M","Ando Crazy","FRX202467092","SX215HV5RC","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M","Torta Power","FRX872436521","SX215HV5RD","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Hijos De Manuel","Pancho Rivera","FRX762471457","SX215HV5RL","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Las Monedas De Judas","FRX202467115","SX215HV5RP","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Las Garzas","FRX872407980","SX215HV5RQ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Caminos De Guanajuato","FRX872407972","SX215HV5RT","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","El Mejor De Mis Amigos","FRX872407974","SX215HV5RV","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Por Una Mujer Casada","FRX872407975","SX215HV5RW","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Jesus Maldonado","FRX872407977","SX215HV5RY","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","La Ruleta","FRX872407969","SX215HV5S1","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Shompo 7Trece","X Culiacan","FRX762432583","SX215HV5S8","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Diego Dela Rosca","Se Volvieron Locos","FRX452474070","SX215HV5SD","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
