MLC Song Code,Primary Title,ISWC,Member Song IDs,Artists,Party Id,Party Name,Party IPI,Party Role,Collectible Share,Chain of Title Id,Chain of Title Parent Id
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,4381954,"JAVIER GONZALEZ, null",,Composer Writer,,2,
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,11116906,"DE LEON HUEZ, OSCAR ARMANDO  DIAZ",00838132536,Composer Writer,,3,
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,11176169,"LOZA, RICARDO  MICHEL MUNOZ",00852595211,Composer Writer,,4,
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3|4
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,5,1
EV9CW4,EL CORRIDO DE LALO,T9203575386,,LOS NUEVOS ILEGALES,9415303,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",00826723428,Composer/Author,,2,
EV9CW4,EL CORRIDO DE LALO,T9203575386,,LOS NUEVOS ILEGALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EV9CW4,EL CORRIDO DE LALO,T9203575386,,LOS NUEVOS ILEGALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
LVAUPR,LOS VALIENTES DE CHACALA,T9203576812,,,9399401,"BARRAZA CASTILLO, JOSE",00596305915,Composer/Author,,2,
LVAUPR,LOS VALIENTES DE CHACALA,T9203576812,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
LVAUPR,LOS VALIENTES DE CHACALA,T9203576812,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EV9CW5,EL JAVI,T9203575422,,LOS NUEVOS ILEGALES,9415303,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",00826723428,Composer/Author,,2,
EV9CW5,EL JAVI,T9203575422,,LOS NUEVOS ILEGALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EV9CW5,EL JAVI,T9203575422,,LOS NUEVOS ILEGALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SVEGPY,SE RESUME EN EXPERIENCIA,T9203572092,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,9415303,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",00826723428,Composer/Author,,2,
SVEGPY,SE RESUME EN EXPERIENCIA,T9203572092,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
SVEGPY,SE RESUME EN EXPERIENCIA,T9203572092,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
AC8YC0,AURELIO SANCHEZ QUINTERO (EN VIVO),,,El Fantasma,11095896,"GARCIA, ALEXANDER",00782546705,Composer/Author,,2,
AC8YC0,AURELIO SANCHEZ QUINTERO (EN VIVO),,,El Fantasma,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
AC8YC0,AURELIO SANCHEZ QUINTERO (EN VIVO),,,El Fantasma,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
JC6YYL,JAIMITO LEYVA (EN VIVO),,,El Fantasma,11095896,"GARCIA, ALEXANDER",00782546705,Composer/Author,,2,
JC6YYL,JAIMITO LEYVA (EN VIVO),,,El Fantasma,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
JC6YYL,JAIMITO LEYVA (EN VIVO),,,El Fantasma,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
UA0IQ0,ULTIMA BATALLA DEL M1,,,Kanales,13148387,"GARCIA, ALEXANDER",00770930824,Composer/Author,,2,
UA0IQ0,ULTIMA BATALLA DEL M1,,,Kanales,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
UA0IQ0,ULTIMA BATALLA DEL M1,,,Kanales,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
YVAXFM,YA NO SOY GATO AHORA SOY PATRON,,,GERARDO DÃ?AZ Y SU GERARQUIA,11422900,"DIAZ BORJA, GERARDO",00845394311,Composer Writer,,2,
YVAXFM,YA NO SOY GATO AHORA SOY PATRON,,,GERARDO DÃ?AZ Y SU GERARQUIA,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
YVAXFM,YA NO SOY GATO AHORA SOY PATRON,,,GERARDO DÃ?AZ Y SU GERARQUIA,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
EVCFF5,EL AGUACATE,,,"GERARDO DIAZ Y SU GERARQUIA, AFINARTE MUSIC LLC",11422900,"DIAZ BORJA, GERARDO",00845394311,Composer Writer,,2,
EVCFF5,EL AGUACATE,,,"GERARDO DIAZ Y SU GERARQUIA, AFINARTE MUSIC LLC",PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
EVCFF5,EL AGUACATE,,,"GERARDO DIAZ Y SU GERARQUIA, AFINARTE MUSIC LLC",P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
NG23F9,NO JALO CONTIGO,,,El Fantasma | EL FANTASMA,13939293,"CABRERA, GEOVANI INZUNZA",00541699329,Composer/Author,,3,
NG23F9,NO JALO CONTIGO,,,El Fantasma | EL FANTASMA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,
NG23F9,NO JALO CONTIGO,,,El Fantasma | EL FANTASMA,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,2,1
SC3FM1,SE VEIA VENIR,,,El Fantasma | EL FANTASMA,11576074,"GUERRERO, HECTOR  ENRIQUE",00754824615,Composer/Author,,3,
SC3FM1,SE VEIA VENIR,,,El Fantasma | EL FANTASMA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,
SC3FM1,SE VEIA VENIR,,,El Fantasma | EL FANTASMA,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,2,1
EV9CWA,EL REGALO,T9203575400,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,9415303,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",00826723428,Composer/Author,,2,
EV9CWA,EL REGALO,T9203575400,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
EV9CWA,EL REGALO,T9203575400,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
EV9CW3,EL CHOYA,T9203573153,,,11899884,"MONTENEGRO, JESUS ALBERT ORDONEZ",,Composer/Author,,2,
EV9CW3,EL CHOYA,T9203573153,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EV9CW3,EL CHOYA,T9203573153,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SVEGPX,SANTIAGO CHAIDEZ,T9209465065,,,8624101,"SANCHEZ, JUAN LUIS",,Composer Writer,,2,
SVEGPX,SANTIAGO CHAIDEZ,T9209465065,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
SVEGPX,SANTIAGO CHAIDEZ,T9209465065,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
TVDL6U,TANTO TIENES TANTO VALES,T9217238692,,CANELOS JR,11898620,"CORRALES, JOSE  ISIDRO VALE",,Composer/Author,,2,
TVDL6U,TANTO TIENES TANTO VALES,T9217238692,,CANELOS JR,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
TVDL6U,TANTO TIENES TANTO VALES,T9217238692,,CANELOS JR,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
MVD7SA,MI ALMA ROTA,,,,11422900,"DIAZ BORJA, GERARDO",00845394311,Composer Writer,,2,
MVD7SA,MI ALMA ROTA,,,,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
MVD7SA,MI ALMA ROTA,,,,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
MA5TJO,MALENO HAROS (MAGDALENO HAROS),,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
MA5TJO,MALENO HAROS (MAGDALENO HAROS),,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
MA5TJO,MALENO HAROS (MAGDALENO HAROS),,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA7YY7,EL CORRIDO DE ALFREDO,,,,11899881,"MEDINA, GULBERTO HERNANDEZ",,Composer/Author,,2,
EA7YY7,EL CORRIDO DE ALFREDO,,,,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
EA7YY7,EL CORRIDO DE ALFREDO,,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA7Y0P,EL GRANDE Y EL CHAPARRO,,,Los Austeros De Durango | LOS AUSTEROS DE DURANGO,11899897,"GUZMAN SANCHEZ, JUAN LUIS",00831561647,Composer/Author,,2,
EA7Y0P,EL GRANDE Y EL CHAPARRO,,,Los Austeros De Durango | LOS AUSTEROS DE DURANGO,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EA7Y0P,EL GRANDE Y EL CHAPARRO,,,Los Austeros De Durango | LOS AUSTEROS DE DURANGO,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
RA2TU2,REINA LA FALSEDAD,,,,11899881,"MEDINA, GULBERTO HERNANDEZ",,Composer/Author,,2,
RA2TU2,REINA LA FALSEDAD,,,,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
RA2TU2,REINA LA FALSEDAD,,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SC79E0,SIEMPRE FUISTE TU,T9255460414,,,11898507,"AUDELO, JULIO CESAR AVITA",,Composer/Author,,2,
SC79E0,SIEMPRE FUISTE TU,T9255460414,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
SC79E0,SIEMPRE FUISTE TU,T9255460414,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA8SB2,EL PUNKER,T9267777639,,Nivel C,11898507,"AUDELO, JULIO CESAR AVITA",,Composer/Author,,2,
EA8SB2,EL PUNKER,T9267777639,,Nivel C,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EA8SB2,EL PUNKER,T9267777639,,Nivel C,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA7Y0E,EL SOLICITADO,T9255460345,,EL POTRO DE SINALOA,11899881,"MEDINA, GULBERTO HERNANDEZ",,Composer/Author,,2,
EA7Y0E,EL SOLICITADO,T9255460345,,EL POTRO DE SINALOA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EA7Y0E,EL SOLICITADO,T9255460345,,EL POTRO DE SINALOA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA8ZOE,EL ENVIDIOSO,,,Nivel C | NIVEL C,11898507,"AUDELO, JULIO CESAR AVITA",,Composer/Author,,2,
EA8ZOE,EL ENVIDIOSO,,,Nivel C | NIVEL C,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EA8ZOE,EL ENVIDIOSO,,,Nivel C | NIVEL C,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
AA1H4R,LA ADIVINANZA,T9190550959,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
AA1H4R,LA ADIVINANZA,T9190550959,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
AA1H4R,LA ADIVINANZA,T9190550959,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
DA2M5X,DICEN DE MI,,,,11899881,"MEDINA, GULBERTO HERNANDEZ",,Composer/Author,,2,
DA2M5X,DICEN DE MI,,,,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
DA2M5X,DICEN DE MI,,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SC79FP,SENDA MAFIOSA (SENDA MAFIOSA EL MAYO),,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
SC79FP,SENDA MAFIOSA (SENDA MAFIOSA EL MAYO),,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
SC79FP,SENDA MAFIOSA (SENDA MAFIOSA EL MAYO),,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA7Y1E,EL C14,T9203573142,,LOS NUEVOS ILEGALES | LOS NUEVOS INLEGALES,11898631,"GARCIA, JUAN  FRANCISCO SOLIS",,Composer/Author,,2,
EA7Y1E,EL C14,T9203573142,,LOS NUEVOS ILEGALES | LOS NUEVOS INLEGALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EA7Y1E,EL C14,T9203573142,,LOS NUEVOS ILEGALES | LOS NUEVOS INLEGALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
AA1JF3,AMOR IMPOSIBLE,,,LOS AUSTEROS DE DURANGO,9162923,"ALVAREZ, ANTONIO",,Composer/Author,,2,
AA1JF3,AMOR IMPOSIBLE,,,LOS AUSTEROS DE DURANGO,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
AA1JF3,AMOR IMPOSIBLE,,,LOS AUSTEROS DE DURANGO,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
LA5BLQ,LA BORRACHERA,,,,11898507,"AUDELO, JULIO CESAR AVITA",,Composer/Author,,2,
LA5BLQ,LA BORRACHERA,,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
LA5BLQ,LA BORRACHERA,,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
PA3Q6E,POR TI ES PURO AMOR,,,,11898507,"AUDELO, JULIO CESAR AVITA",,Composer/Author,,2,
PA3Q6E,POR TI ES PURO AMOR,,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
PA3Q6E,POR TI ES PURO AMOR,,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
HA2I95,HARINA Y COCAINA,T9252554544,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
HA2I95,HARINA Y COCAINA,T9252554544,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
HA2I95,HARINA Y COCAINA,T9252554544,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
QA987F,QUE TE QUIERO,,,LOS AUSTEROS DE DURANGO,9162923,"ALVAREZ, ANTONIO",,Composer/Author,,2,
QA987F,QUE TE QUIERO,,,LOS AUSTEROS DE DURANGO,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
QA987F,QUE TE QUIERO,,,LOS AUSTEROS DE DURANGO,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
TC8T58,TIRO DE GRACIA,T9258203133,,,11899883,"MEDRANO, JOSE  GUADALUPE SANCHEZ",,Composer/Author,,2,
TC8T58,TIRO DE GRACIA,T9258203133,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
TC8T58,TIRO DE GRACIA,T9258203133,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA8ZWQ,EL PATA SECA,T9267777606,,NIVEL C,11898507,"AUDELO, JULIO CESAR AVITA",,Composer/Author,,2,
EA8ZWQ,EL PATA SECA,T9267777606,,NIVEL C,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EA8ZWQ,EL PATA SECA,T9267777606,,NIVEL C,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA7IJN,EL JEFE DE LAS CAÑAS,T3092898807,,INTELIGENCIA NORTE?ëA | L.A. ELITE | Inteligencia Nortena,4374996,"MIRANDA, ROBERTO RAMIREZ",00785871678,Composer/Author,,2,
EA7IJN,EL JEFE DE LAS CAÑAS,T3092898807,,INTELIGENCIA NORTE?ëA | L.A. ELITE | Inteligencia Nortena,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
EA7IJN,EL JEFE DE LAS CAÑAS,T3092898807,,INTELIGENCIA NORTE?ëA | L.A. ELITE | Inteligencia Nortena,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
EA7EBC,EL CIRCO,T9286357899,,LOS PERROTES DEL REGIOSAX | LOS NARES | A LA BRAVA | TRIO NUEVA GENERACION DE LOS HERMANOS REYES | VIENTO WIXARIKA | ANDREY RIOBUENO | GRUPO TORNADO | LOS SONORAMICOS DE MORELITA GRO | LA WC. BANDA SINALOENSE | TRIO RENACIMIENTO JUVENIL | EL FANTASMA,11095896,"GARCIA, ALEXANDER",00782546705,Composer/Author,,2,
EA7EBC,EL CIRCO,T9286357899,,LOS PERROTES DEL REGIOSAX | LOS NARES | A LA BRAVA | TRIO NUEVA GENERACION DE LOS HERMANOS REYES | VIENTO WIXARIKA | ANDREY RIOBUENO | GRUPO TORNADO | LOS SONORAMICOS DE MORELITA GRO | LA WC. BANDA SINALOENSE | TRIO RENACIMIENTO JUVENIL | EL FANTASMA,4055894,"GURROLA MARTINES, EDUARDO",00744621837,Composer/Author,,3,
EA7EBC,EL CIRCO,T9286357899,,LOS PERROTES DEL REGIOSAX | LOS NARES | A LA BRAVA | TRIO NUEVA GENERACION DE LOS HERMANOS REYES | VIENTO WIXARIKA | ANDREY RIOBUENO | GRUPO TORNADO | LOS SONORAMICOS DE MORELITA GRO | LA WC. BANDA SINALOENSE | TRIO RENACIMIENTO JUVENIL | EL FANTASMA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
EA7EBC,EL CIRCO,T9286357899,,LOS PERROTES DEL REGIOSAX | LOS NARES | A LA BRAVA | TRIO NUEVA GENERACION DE LOS HERMANOS REYES | VIENTO WIXARIKA | ANDREY RIOBUENO | GRUPO TORNADO | LOS SONORAMICOS DE MORELITA GRO | LA WC. BANDA SINALOENSE | TRIO RENACIMIENTO JUVENIL | EL FANTASMA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
CA5ULB,CORRIDO DE BENITO,T9276315969,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
CA5ULB,CORRIDO DE BENITO,T9276315969,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
CA5ULB,CORRIDO DE BENITO,T9276315969,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
LA5J9I,LOS CABALLEROS,,,EL FANTASMA,11095896,"GARCIA, ALEXANDER",00782546705,Composer/Author,,2,
LA5J9I,LOS CABALLEROS,,,EL FANTASMA,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
LA5J9I,LOS CABALLEROS,,,EL FANTASMA,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
LA5CMV,LEYES DE MI RANCHO (LAS LEYES DE MI RANCHO),,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
LA5CMV,LEYES DE MI RANCHO (LAS LEYES DE MI RANCHO),,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
LA5CMV,LEYES DE MI RANCHO (LAS LEYES DE MI RANCHO),,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
MA7WCP,MANNY (MANY),,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
MA7WCP,MANNY (MANY),,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
MA7WCP,MANNY (MANY),,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA92ZI,EL CORRIDO DEL GUACHO,T9255460403,,,11898507,"AUDELO, JULIO CESAR AVITA",,Composer/Author,,2,
EA92ZI,EL CORRIDO DEL GUACHO,T9255460403,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EA92ZI,EL CORRIDO DEL GUACHO,T9255460403,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
MA7KIJ,MEMORIAS DE LA MAFIA,T3054718871,,LOS HNOS RODRIGUEZ | SECTOR 6 | Los Dos Carnales | LOS DOS CARNALES,7762544,"FLORES, OSCAR MANUEL AVILEZ",00674300654,Composer/Author,,2,
MA7KIJ,MEMORIAS DE LA MAFIA,T3054718871,,LOS HNOS RODRIGUEZ | SECTOR 6 | Los Dos Carnales | LOS DOS CARNALES,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
MA7KIJ,MEMORIAS DE LA MAFIA,T3054718871,,LOS HNOS RODRIGUEZ | SECTOR 6 | Los Dos Carnales | LOS DOS CARNALES,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
LA68JW,LA PUA DE LOS ALAMBRES,T9258981816,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
LA68JW,LA PUA DE LOS ALAMBRES,T9258981816,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
LA68JW,LA PUA DE LOS ALAMBRES,T9258981816,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA82TX,EN UNA RAMADA,T9295365401,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
EA82TX,EN UNA RAMADA,T9295365401,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
EA82TX,EN UNA RAMADA,T9295365401,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA82Z3,ESCAPULARIO,T9288530165,,"KANALES, MARIO TAPIA",11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
EA82Z3,ESCAPULARIO,T9288530165,,"KANALES, MARIO TAPIA",P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
EA82Z3,ESCAPULARIO,T9288530165,,"KANALES, MARIO TAPIA",P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SC8J4V,SI APUESTAS,T9306397126,,EL FANTASMA,11898633,"GONZALEZ, VIANCA L",00830533365,Composer/Author,,2,
SC8J4V,SI APUESTAS,T9306397126,,EL FANTASMA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
SC8J4V,SI APUESTAS,T9306397126,,EL FANTASMA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
YA19R0,YO SIN TU AMOR,T3094926844,,Ruben Salazar,12769158,"MEXIA NUNEZ, LUIS IGNACIO",00896592857,Composer/Author,,2,
YA19R0,YO SIN TU AMOR,T3094926844,,Ruben Salazar,11746757,"SALAZAR ASTORGA, RUBEN",00360892642,Composer/Author,,3,
YA19R0,YO SIN TU AMOR,T3094926844,,Ruben Salazar,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2|3
YA19R0,YO SIN TU AMOR,T3094926844,,Ruben Salazar,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,4,1
BA824L,BORRACHO DE COCHERA,T9325637647,,"LOS DE LA TRAVE | EL NUEVO ENREDO  NORTEÑO BANDA | GRUPO FATAL DE COALCOMAN | MARCO HIDALGO | LOS HIJOS DE MANUEL | MARIO JACQUEZ | HERMANOS MADERO | LOS CHARLEÑOS DE CHARLY LÓPEZ|BANDA SUPREMA REVOLUCION | EL FANTASMA, CALIBRE 50 | LOS NUEVOS REBELDES, LEGADO MYM | AURIEL GAXIOLA | CONJUNTO ESCUADRON NORTEÑO | LA DISTRAXION | GRUPO VIGILANCIA | LOS YARDEROS VERDES | REYES EL INDIVIDUAL Y SU ASPECTO SIERREÑO | EL FANTASMA Y CALIBRE 50",11095896,"GARCIA, ALEXANDER",00782546705,Composer/Author,,4,
BA824L,BORRACHO DE COCHERA,T9325637647,,"LOS DE LA TRAVE | EL NUEVO ENREDO  NORTEÑO BANDA | GRUPO FATAL DE COALCOMAN | MARCO HIDALGO | LOS HIJOS DE MANUEL | MARIO JACQUEZ | HERMANOS MADERO | LOS CHARLEÑOS DE CHARLY LÓPEZ|BANDA SUPREMA REVOLUCION | EL FANTASMA, CALIBRE 50 | LOS NUEVOS REBELDES, LEGADO MYM | AURIEL GAXIOLA | CONJUNTO ESCUADRON NORTEÑO | LA DISTRAXION | GRUPO VIGILANCIA | LOS YARDEROS VERDES | REYES EL INDIVIDUAL Y SU ASPECTO SIERREÑO | EL FANTASMA Y CALIBRE 50",3727766,"CANTU, RODOLFO EDEN MUNOZ",00635044859,Composer/Author,,2,
BA824L,BORRACHO DE COCHERA,T9325637647,,"LOS DE LA TRAVE | EL NUEVO ENREDO  NORTEÑO BANDA | GRUPO FATAL DE COALCOMAN | MARCO HIDALGO | LOS HIJOS DE MANUEL | MARIO JACQUEZ | HERMANOS MADERO | LOS CHARLEÑOS DE CHARLY LÓPEZ|BANDA SUPREMA REVOLUCION | EL FANTASMA, CALIBRE 50 | LOS NUEVOS REBELDES, LEGADO MYM | AURIEL GAXIOLA | CONJUNTO ESCUADRON NORTEÑO | LA DISTRAXION | GRUPO VIGILANCIA | LOS YARDEROS VERDES | REYES EL INDIVIDUAL Y SU ASPECTO SIERREÑO | EL FANTASMA Y CALIBRE 50",PC91US,DULCE MARIA MUSIC LLC,00667602034,Original Publisher,50.000,1,2
BA824L,BORRACHO DE COCHERA,T9325637647,,"LOS DE LA TRAVE | EL NUEVO ENREDO  NORTEÑO BANDA | GRUPO FATAL DE COALCOMAN | MARCO HIDALGO | LOS HIJOS DE MANUEL | MARIO JACQUEZ | HERMANOS MADERO | LOS CHARLEÑOS DE CHARLY LÓPEZ|BANDA SUPREMA REVOLUCION | EL FANTASMA, CALIBRE 50 | LOS NUEVOS REBELDES, LEGADO MYM | AURIEL GAXIOLA | CONJUNTO ESCUADRON NORTEÑO | LA DISTRAXION | GRUPO VIGILANCIA | LOS YARDEROS VERDES | REYES EL INDIVIDUAL Y SU ASPECTO SIERREÑO | EL FANTASMA Y CALIBRE 50",PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,3,2|4
