MLC Song Code,Primary Title,ISWC,Member Song IDs,Artists,Party Id,Party Name,Party IPI,Party Role,Collectible Share,Chain of Title Id,Chain of Title Parent Id
MA9I5A,MI PROFESIÓN,,,LOS DOS CARNALES,12958553,"MANCHA, IMANOL",,Composer/Author,,2,
MA9I5A,MI PROFESIÓN,,,LOS DOS CARNALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
MA9I5A,MI PROFESIÓN,,,LOS DOS CARNALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
CB3Q4W,CORRIDO DEL TEMO,,,LOS DOS DE TAMAULIPAS,13029150,"MEDRANO, JOSE GUADALUPE",,Composer/Author,,2,
CB3Q4W,CORRIDO DEL TEMO,,,LOS DOS DE TAMAULIPAS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
CB3Q4W,CORRIDO DEL TEMO,,,LOS DOS DE TAMAULIPAS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SD1AKH,SE ACABO,,,ADRIANA RIOS,13029147,"ECHEVERRIA, ADRIANA ISABEL",,Composer/Author,,2,
SD1AKH,SE ACABO,,,ADRIANA RIOS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
SD1AKH,SE ACABO,,,ADRIANA RIOS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
3A1ZNN,30 DE ENERO,,,"LOS DOS CARNALES, BRUCE TORRESCANO",12958553,"MANCHA, IMANOL",,Composer/Author,,2,
3A1ZNN,30 DE ENERO,,,"LOS DOS CARNALES, BRUCE TORRESCANO",P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
3A1ZNN,30 DE ENERO,,,"LOS DOS CARNALES, BRUCE TORRESCANO",P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SD1AC3,SIN RASPAR MUEBLES,,,OTRO NIVEL,11922831,"PEREZ, JESUS OTONIEL",,Composer/Author,,2,
SD1AC3,SIN RASPAR MUEBLES,,,OTRO NIVEL,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
SD1AC3,SIN RASPAR MUEBLES,,,OTRO NIVEL,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
LA5LTB,LA LIEBRE,,,EL FANTASMA,13029154,"GARCÍA, ALEXANDER",,Composer/Author,,2,
LA5LTB,LA LIEBRE,,,EL FANTASMA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
LA5LTB,LA LIEBRE,,,EL FANTASMA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EB2AQD,EL PECHUGO,T9295334837,,EL POTRO DE SINALOA,13029163,"SANABIA, WILFRIDO",,Composer/Author,,2,
EB2AQD,EL PECHUGO,T9295334837,,EL POTRO DE SINALOA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
EB2AQD,EL PECHUGO,T9295334837,,EL POTRO DE SINALOA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SD1AF1,SERENATA EN MAYO,T9244362401,,KANALES,11898486,"HAROS, PEDRO",00675463414,Composer/Author,,2,
SD1AF1,SERENATA EN MAYO,T9244362401,,KANALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
SD1AF1,SERENATA EN MAYO,T9244362401,,KANALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EB2AXY,EL MASHIN,,,LOS DOS CARNALES,13029146,"MANCHA, ALFONSO",,Composer/Author,,3,
EB2AXY,EL MASHIN,,,LOS DOS CARNALES,12958553,"MANCHA, IMANOL",,Composer/Author,,2,
EB2AXY,EL MASHIN,,,LOS DOS CARNALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
EB2AXY,EL MASHIN,,,LOS DOS CARNALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
MA9I6A,MONOS NEGROS,,,LOS DOS CARNALES,13029146,"MANCHA, ALFONSO",,Composer/Author,,2,
MA9I6A,MONOS NEGROS,,,LOS DOS CARNALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
MA9I6A,MONOS NEGROS,,,LOS DOS CARNALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
NC4TCA,NO ME VOLTEARON A MIRAR,,,ANGEL SAUCEDA,13029133,"GASTELUM, ANGEL RENE",,Composer/Author,,2,
NC4TCA,NO ME VOLTEARON A MIRAR,,,ANGEL SAUCEDA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
NC4TCA,NO ME VOLTEARON A MIRAR,,,ANGEL SAUCEDA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
AA6XKG,ARRIBA EL NORTE,,,LOS DOS DE TAMAULIPAS,13029136,"ZAPATA, ORLANDO",,Composer/Author,,2,
AA6XKG,ARRIBA EL NORTE,,,LOS DOS DE TAMAULIPAS,13029145,"ZAPATA, ROLANDO",,Composer/Author,,3,
AA6XKG,ARRIBA EL NORTE,,,LOS DOS DE TAMAULIPAS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
AA6XKG,ARRIBA EL NORTE,,,LOS DOS DE TAMAULIPAS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
EB2AQ3,EL DETALLITO,,,GERARDO DÃ?AZ Y SU GERARQUIA | GERARDO DIAZ Y SU GERARQUIA,11422900,"DIAZ BORJA, GERARDO",00845394311,Composer/Author,,2,
EB2AQ3,EL DETALLITO,,,GERARDO DÃ?AZ Y SU GERARQUIA | GERARDO DIAZ Y SU GERARQUIA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
